Trial_ID,n_rosi,n_ctl,MI_rosi,MI_ctl,CVdeath_rosi,CVdeath_ctl,Trial,Phase,Weeks,Arm_rosi,Arm_ctl,Subgroup,placebo
49653/369,25,24,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,26,Rosiglitazone,Glibenclamide,0,0
49653/145,231,242,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and gliclazide,Gliclazide,1,0
49653/234,116,61,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and glimepiride,Glimepiride,1,0
49653/325,196,195,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,24,Rosiglitazone and glimepiride,Glimepiride,1,0
49653/109,52,25,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone,Glipizide,0,0
100684,43,47,0,1,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,52,Rosiglitazone and glyburide,Glyburide,1,0
49653/020,391,207,2,1,0,0,Trials Included in Original Registration Package,3,52,Rosiglitazone,Glyburide,0,0
49653/079,203,106,1,1,1,1,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone p/m glyburide,Glyburide,1,0
49653/080,104,99,1,2,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,156,Rosiglitazone,Glyburide,0,0
49653/096,232,115,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and glyburide,Glyburide,1,0
49653/097,122,120,0,1,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,156,Rosiglitazone,Glyburide,0,0
49653/127,56,58,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and glyburide,Glyburide,1,0
49653/143,121,124,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,24,Rosiglitazone and glyburide,Glyburide,1,0
49653/162,168,172,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and glyburide,Glyburide,1,0
49653/137,204,185,1,2,0,1,"Additional Phase 2, 3, and 4 Efficacy Trials",3,32,Rosiglitazone and metformin,Glyburide and metformin,0,0
49653/282,70,75,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,24,Rosiglitazone and metformin,Glyburide and metformin,0,0
49653/135,116,111,2,3,2,1,"Additional Phase 2, 3, and 4 Efficacy Trials",3,104,Rosiglitazone and glypizide,Glypizide,1,0
49653/082,212,107,2,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and insulin,Insulin,1,0
49653/085,138,139,3,1,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and insulin,Insulin,1,0
49653/095,196,96,0,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and insulin,Insulin,1,0
AVD102209,132,131,0,0,0,1,"Additional Phase 2, 3, and 4 Efficacy Trials",3,78,Rosiglitazone and insulin,Insulin,1,0
BRL 49653/347,418,212,2,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,24,Rosiglitazone and insulin,Insulin,1,0
SB-712753/009,162,160,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,24,"Rosiglitazone, metformin, and insulin",Insulin,0,0
49653/044,101,51,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and metformin,Metformin,1,0
49653/093,213,109,0,1,0,0,Trials Included in Original Registration Package,3,26,Rosiglitazone p/m metformin,Metformin,1,0
49653/094,232,116,1,0,1,0,Trials Included in Original Registration Package,3,26,Rosiglitazone and metformin,Metformin,1,0
49653/284,382,384,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,24,Rosiglitazone and metformin,Metformin,1,0
712753/008,284,135,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,48,Rosiglitazone and metformin,Metformin,1,0
SB-712753/002,288,280,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,24,Rosiglitazone and metformin,Metformin,1,0
SB-712753/003,254,272,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,32,Rosiglitazone and metformin,Metformin,1,0
SB-712753/007,314,154,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,32,Rosiglitazone p/m metformin,Metformin,1,0
AVM100264,294,302,0,1,2,1,"Additional Phase 2, 3, and 4 Efficacy Trials",4,52,Rosiglitazone and metformin,Metformin and sulfonylurea,0,0
RECORD trial,2220,2227,64,56,60,71,Published Large Prospective Randomized Trials,3,260,Rosiglitazone,Metformin and sulfonylurea,0,0
ADOPT,1456,2895,27,41,2,5,Published Large Prospective Randomized Trials,3,208,Rosiglitazone,Metformin or glyburide,0,0
AVD100521 (APPROACH trial),331,337,8,7,4,3,"Additional Phase 2, 3, and 4 Efficacy Trials",3,28,Rosiglitazone,Pioglitazone or placebo,0,0
AVD104742,160,213,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone,Pioglitazone or placebo,0,0
49653/011,357,176,2,0,1,0,Trials Included in Original Registration Package,3,24,Rosiglitazone,Placebo,1,1
49653/024,774,185,1,1,0,0,Trials Included in Original Registration Package,3,26,Rosiglitazone,Placebo,1,1
49653/128,39,38,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,28,Rosiglitazone,Placebo,1,1
49653/134,561,276,0,2,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,28,Rosiglitazone,Placebo,1,1
49653/136,148,143,1,0,2,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone,Placebo,1,1
49653/330,1172,377,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,52,Rosiglitazone,Placebo,1,1
49653/331,706,325,0,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,52,Rosiglitazone,Placebo,1,1
49653/351,28,29,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,52,Rosiglitazone,Placebo,1,1
49653/452,26,24,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",2,24,Rosiglitazone,Placebo,1,1
AVA100193,394,124,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",2,24,Rosiglitazone,Placebo,1,1
AVA105640,331,250,1,1,0,1,"Additional Phase 2, 3, and 4 Efficacy Trials",2,26,Rosiglitazone,Placebo,1,1
BRL 49653/334,278,279,2,1,0,1,"Additional Phase 2, 3, and 4 Efficacy Trials",4,52,Rosiglitazone,Placebo,1,1
DREAM trial,2635,2634,15,9,12,10,Published Large Prospective Randomized Trials,3,156,Rosiglitazone,Placebo,1,1
ARA102198,49,49,0,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,24,Rosiglitazone,Placebo or donepezil,0,0
49653/015,395,198,2,1,2,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,24,Rosiglitazone and sulfonylurea,Sulfonylurea,1,0
49653/125,175,173,0,1,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and sulfonylurea,Sulfonylurea,1,0
49653/132,442,112,1,0,1,0,"Additional Phase 2, 3, and 4 Efficacy Trials",2,24,Rosiglitazone and sulfonylurea,Sulfonylurea,1,0
49653/147,89,88,1,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",3,26,Rosiglitazone and sufonylurea,Sulfonylurea,1,0
49653/211,110,114,5,2,5,4,"Additional Phase 2, 3, and 4 Efficacy Trials",4,52,Rosiglitazone and usual care,Usual care,1,0
BRL 49653C/185,563,142,2,0,0,0,"Additional Phase 2, 3, and 4 Efficacy Trials",4,32,Rosiglitazone p/m metformin,Usual care p/m metformin,1,0
